country_name,PoU_Target_Year,lag_mean_food_inflation,lag_max_food_shock
Switzerland,2026,-0.0017709014344724494,-0.0017709014344724494
Syrian Arab Republic,2026,-8.19553347326234,-8.19553347326234
Tajikistan,2026,4.430379445946353,4.430379445946353
Thailand,2026,41.7487412805718,41.7487412805718
Timor-Leste,2026,0.14892024356050193,0.14892024356050193
Togo,2026,7.49471699595905,7.49471699595905
Tonga,2026,-5.200000139830985,-5.200000139830985
Trinidad and Tobago,2026,4.643337772893963,4.643337772893963
Tunisia,2026,6.433054393305437,6.433054393305437
Türkiye,2026,30.204518937819103,30.204518937819103
Uganda,2026,4.804804438287524,4.804804438287524
Ukraine,2026,23.168023811084492,23.168023811084492
United Kingdom of Great Britain and Northern Ireland,2026,4.565537555228261,4.565537555228261
United Republic of Tanzania,2026,7.301353784673337,7.301353784673337
United States of America,2026,2.524677058154934,2.524677058154934
Uruguay,2026,4.169221259269973,4.169221259269973
Uzbekistan,2026,5.694901417096632,5.694901417096632
Vanuatu,2026,0.4488951997333901,0.4488951997333901
Viet Nam,2026,3.832105775688821,3.832105775688821
Zambia,2026,16.700000031962126,16.700000031962126
Zimbabwe,2026,49.25807357333654,49.25807357333654
Åland Islands,2026,1.2969287019473752,1.2969287019473752
