country_name,country_code,indicator_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Congo, Rep.",COG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,54.5,,,,,,39.2,,,,,,,,,,,,,
Colombia,COL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),23.9,29.6,21.2,19.8,19.2,16.8,,,16.6,15.0,13.1,11.2,10.9,9.9,9.0,8.1,8.0,7.3,7.4,8.8,13.5,11.2,9.3,7.7,
Comoros,COM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,27.9,,,,,,,,,,31.4,,,,,,,,,,
Cabo Verde,CPV,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,37.1,,,,,,26.2,,,,,,,,14.6,,,,,,,,,
Costa Rica,CRI,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),9.8,7.6,6.6,6.9,6.6,5.0,5.2,3.1,3.4,3.6,2.2,2.7,2.6,2.6,2.4,2.4,2.4,1.7,2.3,1.7,3.4,2.2,1.6,1.5,1.3
Caribbean small states,CSS,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.0,
Czechia,CZE,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,0.0,,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,
Germany,DEU,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,,,,
Djibouti,DJI,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,32.3,,,,,,,,,,26.4,31.2,,,,25.4,,,,,,,
Dominica,DMA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.0,,,0.4,0.3,0.3,0.2,0.1,0.3,0.6,0.1,0.0,0.0,0.3,0.2,0.2,0.3,0.1,0.2,0.3,0.2,0.2,0.2,0.4,
Dominican Republic,DOM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),8.3,6.6,9.0,10.7,14.6,9.9,8.1,7.8,7.1,6.3,5.5,5.3,5.4,4.4,4.1,3.3,3.0,1.5,1.1,1.0,1.3,1.3,1.0,1.3,0.8
