country_name,energy_supply_adeq,gdp_percapita,poverty,max_inflation_shock
Kazakhstan,-0.8830455064573548,-0.877945965682072,0.8170739359985414,0.05123934829926958
Kenya,-0.9484770392690783,0.5378275655163641,0.9330497075860269,0.0067175911649696544
Kiribati,,,,
Latvia,-0.6439992303917002,-0.40710750700327963,0.018021317217221642,-0.02836965201561662
Lebanon,,,,
Liberia,,,,
Lithuania,,,,
Luxembourg,,,,
Madagascar,-0.923834890899812,0.12015927708185982,-0.11334601234898707,0.18513416821829845
Malawi,,,,
Malaysia,-0.6897247020435426,-0.4473854336314474,0.05877815064288208,0.5797505301025432
Mali,-0.961916990482832,-0.8665197182361797,0.7890649514442037,0.6673830094009391
Malta,,,,
Mauritania,,,,
Mauritius,,,,
Mexico,-0.10805761668617209,-0.5922986796341846,0.6157948557442219,-0.12293546402046757
Mongolia,-0.9404424109485205,-0.9490667857492604,0.7873187060673007,-0.06384788166876718
Montenegro,-0.7367400753979436,-0.5576996274306742,-0.3437738237393762,-0.22805823703625572
Morocco,,,,
Mozambique,-0.6350572645781837,-0.6927374680704412,0.03989284843829695,-0.3252879105236566
Myanmar,,,,
Namibia,,,,
Nepal,,,,
Netherlands,,,,
Nicaragua,,,,
Niger,-0.9812719686058422,-0.8580035485485192,0.9656236814416277,0.48053901080691735
Nigeria,-0.8992966442790343,0.7779914120504802,-0.13606508848996904,0.7363574891375959
North Macedonia,-0.9562224483893484,-0.7760038344878446,-0.3537309115184346,-0.19482503325840525
Norway,,,,
Pakistan,-0.4253432023378507,-0.9898393000597409,0.9713527616120267,0.18075818655708265
Panama,-0.966817391836183,-0.900675549583579,0.9768399503600648,-0.0452806768410134
Papua New Guinea,,,,
Paraguay,-0.9415931554550225,-0.7175217268415823,0.7394990065268424,0.41217764909291776
Peru,-0.9530369010266302,-0.868874970595622,0.9443973892962669,-0.2631306753549343
Philippines,-0.8883517629392699,-0.9665965387916741,0.9309777013069378,-0.5160130587149276
Poland,,,,
Portugal,,,,
Romania,,,,
Russian Federation,-0.7697782718128362,-0.5395994767037333,0.8295255429790089,0.4870066742410096
Rwanda,,,,
Samoa,,,,
Sao Tome and Principe,,,,
Senegal,-0.9768793189931143,-0.9163831779147555,0.8930623554918875,0.5652399166378117
Serbia,-0.7515287653405965,-0.6371124404191055,-0.47305345895498974,0.7405223072792722
Seychelles,,,,
Sierra Leone,,,,
Slovenia,,,,
Solomon Islands,,,,
South Africa,,,,
Spain,,,,
Sri Lanka,-0.9553047277121439,-0.9831823296625112,0.9370585885104566,0.9062723210274647
Sudan,,,,
Suriname,,,,
Sweden,,,,
Switzerland,,,,
Tajikistan,-0.9862952027538316,-0.9691373692443016,0.8834846829828846,0.5727610718131864
Tanzania,,,,
Thailand,-0.8888547298041832,-0.932215790245899,0.9294435348934851,0.23476410411717877
Timor-Leste,,,,
Togo,-0.9365593493278614,-0.9239796499119203,0.7169954973031921,-0.5194219571996668
Tunisia,,,,
Uganda,-0.976047118422087,0.7632086326519153,-0.5625032333242737,-0.455219511344479
Ukraine,-0.7060286894088799,0.7637503094884944,-0.19718618630659862,-0.2594337456346165
United Arab Emirates,,,,
United Kingdom,,,,
United States,,,,
Uruguay,-0.7742746674847923,-0.6461307576572699,0.6362564274705459,0.31223027509356827
Uzbekistan,,,,
Vanuatu,,,,
Viet Nam,-0.9900336087099536,-0.9107750957124815,0.9484729915272535,0.2774144567365731
Zambia,-0.989182113934858,-0.9428762258613629,-0.0935056491739575,-0.13672148212557453
Zimbabwe,,,,
