country_name,indicator_name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,country_code
"China, Macao SAR",Max Food Inflation Shock,-0.31180369071670544,-0.8648162696998085,-0.0933058592725744,3.911923282830654,5.5798930083351905,4.586153493324341,12.15735512063192,19.96105318477579,12.244158288039886,5.356582665220944,11.024682716269464,10.199588973515738,7.444232243048354,6.744759535504463,5.485280316252039,5.256777357063269,2.3319609255265883,3.1576748249327435,5.400802076806621,6.081281606161704,1.2038024265303982,2.2134210020673617,2.9199517197699754,1.7557198541728214,MAC
"China, mainland",Max Food Inflation Shock,1.7004525989137154,0.5533396573340843,8.555399026541322,14.4742002130142,8.769895234392177,6.294188544816848,18.253763926963053,23.331267748010553,5.196885671715457,11.967260445728378,14.936087592389068,10.529890822051602,6.524909830173686,4.096301966610105,3.778397883712681,7.910128604607203,2.90587810266556,4.538834905490652,19.164149206297807,21.917210272328248,2.1049649823690952,8.697825170110951,6.2381655190087315,3.363993063476145,CHN
Colombia,Max Food Inflation Shock,11.762371753339874,13.081824109628615,11.739367594699956,7.838090202686532,7.465207005917951,6.613656996503314,10.759496999936658,15.783360198945996,13.398475696296908,3.9005031725402928,7.216395427615585,4.620866340260377,1.3054990495507957,5.49114692106405,13.078274137900681,18.94408369809568,4.58515045664003,1.8652961875800456,6.867873922858236,8.226516750177225,17.23449358653506,27.809790114950395,26.177045651973007,5.2659518341753975,COL
Comoros,Max Food Inflation Shock,12.557152288886941,15.641358463485222,14.341308278267295,7.921034816605377,7.519196224097291,6.906514098672734,17.547545900144357,7.3999994068456365,4.758196709425255,9.488902959494583,5.86287465825055,11.135714317148103,3.987626122759025,6.773840034975653,4.600045017821208,6.168037547734939,4.5582856558515905,6.453590514797836,9.646526861729354,12.480605313415193,11.933797964335714,18.83268495841577,20.652173783457428,,COM
Congo,Max Food Inflation Shock,5.583301062231949,7.3471501462342825,4.012323164012188,5.155769936628007,4.153580372278731,9.791576050310535,7.183674686747232,13.18252685958472,11.70053233777053,6.516363523390334,4.416324599481536,14.24086759491554,9.133437554333867,1.4822740089733166,4.913468597615167,4.579239519502032,1.8769649319208215,3.4758550121151366,5.1611816394522725,8.869650870099854,7.5029041307649535,9.53757280640497,6.709558467059362,5.986508762354958,COG
Cook Islands,Max Food Inflation Shock,9.352935440681964,9.13024407677252,6.50929595267693,2.442667224451167,1.1355451835875607,2.3562908522114734,2.1739304261644055,5.88059168625672,5.570076919965183,3.4267913992754195,2.7860695599821295,3.063240914156218,2.41080036869179,1.78236413491204,1.6022618944295353,1.3023255412962564,0.829492845884916,0.7279346009968268,1.6260157852850732,4.043126478458703,4.419410385936251,23.48547724373502,22.473440384431843,5.048932194335265,COK
Costa Rica,Max Food Inflation Shock,13.173206335555076,12.651149570684117,11.136957262790226,16.40658691960366,20.419603151249866,15.712658917283528,20.955882536064465,27.734830229447425,22.31608135890857,9.029946128336652,8.637864213251323,5.680570195271706,5.281378861506125,6.862596424752043,8.235620155781742,0.9652096119985965,4.376588051389785,2.998265542696843,2.7037556537788054,3.757042582663739,5.2278326175803524,22.43835035534825,18.41526039372954,2.610965713940705,CRI
Croatia,Max Food Inflation Shock,4.641350210970474,4.038997214484685,3.9106145251396773,4.781420765027322,6.712328767123288,4.113110539845755,10.77694235588973,13.737623762376238,6.263982102908261,0.8800880088008833,4.625550660792954,5.567226890756305,6.25,-0.7843137254901933,1.0111223458038499,0.9127789046653234,3.5246727089627283,2.158979391560334,2.054794520547931,3.80859375,7.833655705996123,19.759926131117254,17.4548581255374,6.458797327394228,HRV
Curaçao,Max Food Inflation Shock,9.988336975436884,5.677648150416781,9.742864931991768,5.232133325391253,14.60284672682337,13.847122947938729,11.47897899948167,25.44931473246472,15.195680481655582,10.951134036620447,8.685672249736488,12.449396726913587,8.28550916283326,8.434836304903403,3.263021299512636,2.5931934787101207,2.435192655214169,5.138036195275131,7.475944458808237,7.199424388395825,7.31588103582077,15.424164763388992,15.964343609545573,,CUW
Cyprus,Max Food Inflation Shock,10.045104938607508,11.144606354126708,7.825334831334718,7.6509728448806325,4.027108111548028,7.139320745549305,7.8611823042160855,12.09365215924143,9.397674348858054,7.14581381015249,9.534962429664073,4.755065919312451,4.199328086848508,2.3912873231963117,2.874969698685481,9.743506862633255,5.358632193494572,3.8659793814433074,6.988801327250105,3.7051792828685315,8.223945902943509,15.463917525773208,10.765340853836447,7.577182929958104,CYP
Czechia,Max Food Inflation Shock,9.10344827586207,3.820816864295118,3.4626038781163437,5.013927576601684,0.40000000000000036,2.5435073627844584,11.298701298701296,12.020460358056262,-1.1507479861910253,5.609756097560958,6.642941874258601,8.779931584948697,6.25,4.170905391658208,0.5946481665014769,3.2786885245901676,7.755102040816331,4.4921875,5.358851674641141,7.764265668849379,4.061371841155226,26.02620087336245,24.833887043189364,1.663201663201641,CZE
Côte d'Ivoire,Max Food Inflation Shock,8.577182098248004,11.742268962299885,8.76806386581961,1.446888456476092,5.32311949991684,4.405388372742203,7.771217046110057,16.661071748891242,15.533052624872656,16.633290805504974,25.713610325214486,5.458330158966529,4.779921309924662,0.38291199133337894,5.770042830614774,8.980505044883703,4.265791382182993,1.4948861286647297,-0.23083312950896717,5.669144997365305,12.218868940619188,11.877589582892512,7.766990763915249,8.57258503231435,CIV
Democratic Republic of the Congo,Max Food Inflation Shock,634.9797633229488,213.83898552981987,17.998536333786163,8.71611605647422,26.928316661600228,19.43731885310487,21.786796161359657,25.651255094440508,49.62897046043753,-9.615038228607542,19.729887567130366,19.59874550015177,1.0700240256461768,1.560708574144698,1.1427949078213206,9.34484920982488,13.702321139044216,,,,,,,,COD
Denmark,Max Food Inflation Shock,4.569059960628552,3.566710700132103,2.0408163265306145,0.7633587786259666,1.6560509554140124,4.689480354879572,6.90072639225181,10.513739545997613,3.798882681564253,3.5674470457079277,5.500550055005493,5.717367853290178,2.244897959183678,-0.10020040080159776,1.5105740181268867,1.102204408817653,4.079601990049753,1.5779092702169484,2.2439024390243922,1.5458937198067568,2.0972354623450817,15.928369462770986,15.794223826714804,4.6811945117029685,DNK
Djibouti,Max Food Inflation Shock,4.103331403235955,2.483940290673492,4.161861265793343,8.988144272577902,5.461767551180063,8.943863886102754,13.92294335415254,32.31756148948575,19.2111033517542,10.628019758524388,12.326388147952283,11.856564012471594,2.5678011036518456,5.733356187062011,11.074013263470128,11.526350497820559,12.14792911448017,3.2668223171904653,7.231775162876497,11.670144532497218,4.667753263330665,25.702639703977702,9.920684589287454,6.544958208334273,DJI
Dominica,Max Food Inflation Shock,3.264934483204218,2.7999998186242436,2.223522873412942,4.15411879033325,3.7527825449151564,4.76278896675415,8.808289506989219,14.764001174975071,9.15594864053828,6.928592282437296,4.590423753520723,4.7980292495017896,2.238103365505273,1.9319649330160171,1.5162522376003462,0.9313681996265588,0.41359456782756876,3.394921628188996,2.790821621224726,4.866455636004363,2.184506623932525,4.083313077377504,10.08369484546565,7.324725291041934,DMA
Dominican Republic,Max Food Inflation Shock,6.210774869653335,9.740712726334166,52.94366231713572,94.53851294559385,21.567129237791182,4.98588485755771,7.005103380088529,23.19347745678013,12.64673218434611,6.4124608521823445,7.337527235990482,8.808289830612859,6.560042740753658,7.050687195603067,9.124497142853372,7.054426404969449,5.521886490312977,5.381364834533153,8.053690869850637,8.425229909004607,13.136951671462938,12.961389533569623,11.356066299168766,5.6037369054078745,DOM
Ecuador,Max Food Inflation Shock,140.84080898597816,26.069131700284643,15.665069864246206,6.08687299932491,4.021502604846483,8.644425551054846,5.717685433502795,20.547455282612013,14.930230667021437,5.854754164083187,8.572465521078708,8.153259627993492,5.051683404674168,6.189794737145604,6.169419210531646,3.863025206208115,1.835241408294075,0.07723696748040965,0.936498022646548,4.572413306752976,1.0815533365304164,7.596194849076543,8.167572912685772,5.850674876935158,ECU
Egypt,Max Food Inflation Shock,1.7842644628515147,5.288461768436714,8.434652258732234,18.449054403227393,5.52017076489395,15.961535435404217,17.142839097135855,30.878186663004037,22.3227741296536,24.18498618714924,21.66065319420454,12.568653150557152,19.146794654955812,18.626257495976837,14.753906299406472,28.348572225706683,43.57403696135081,20.223914019127243,15.424717889750749,3.576234966652203,11.580856229043523,37.25850960454957,73.58916487691897,50.90521813840421,EGY
El Salvador,Max Food Inflation Shock,7.845114960249,3.9758283324918597,3.918442040807757,7.825662074874962,8.503060944816543,7.951749042431033,8.935829301917542,14.289453575317168,10.720580240549339,7.880000469653092,10.130048121082492,2.986316127423949,3.717671659446986,5.9879721733459235,4.173883555861524,2.1049711702692875,2.4913321305223057,1.8031541587254285,2.8105824784779188,3.304903807662196,7.959379541866518,14.501531692588454,12.608288408901092,4.529092247052113,SLV
Equatorial Guinea,Max Food Inflation Shock,15.516078436884651,13.500566847488503,12.102886566448333,7.170798271035084,12.905391251401932,7.052960486065851,6.17648198504519,9.46059227423184,9.742207142646485,12.6635488041982,7.552922115503935,6.665254736780235,6.840758290580018,6.841159590459389,2.6011325179664535,-1.4368648834938713,3.1842018023061858,3.0032815602823115,3.332382300737824,8.808844444936392,3.450636866456347,7.798793119967717,4.470743371140551,6.949807517551232,GNQ
